,zmage,izenačenja,porazi
0,456,156,388
1,852,52,96
2,902,27,71
3,894,30,76
4,793,60,147
5,837,53,110
6,764,134,102
7,861,60,79
8,951,14,35
9,926,36,38
10,938,18,44
11,923,13,64
12,955,13,32
13,953,9,38
14,953,14,33
15,879,32,89
16,901,15,84
17,961,19,20
18,946,7,47
19,888,22,90
20,964,12,24
21,988,5,7
22,976,9,15
23,914,15,71
24,927,10,63
25,971,8,21
26,983,7,10
27,968,11,21
28,956,21,23
29,974,9,17
30,974,6,20
31,965,19,16
32,977,7,16
33,973,13,14
34,973,12,15
35,956,23,21
36,978,6,16
37,989,4,7
38,995,0,5
39,991,4,5
40,980,7,13
41,961,7,32
42,994,1,5
43,995,1,4
44,980,8,12
45,990,0,10
46,992,0,8
47,985,3,12
48,992,1,7
49,992,0,8
50,988,0,12
51,988,2,10
52,990,5,5
53,987,0,13
54,986,3,11
55,994,1,5
56,991,1,8
57,995,1,4
58,995,3,2
59,991,3,6
60,991,5,4
61,993,0,7
62,990,5,5
63,988,3,9
64,991,3,6
65,989,0,11
66,992,1,7
67,992,1,7
68,997,1,2
69,998,1,1
70,997,2,1
71,993,3,4
72,995,1,4
73,992,1,7
74,996,1,3
75,992,2,6
76,992,2,6
77,994,4,2
78,998,0,2
79,987,8,5
80,996,0,4
81,997,0,3
82,997,2,1
83,990,5,5
84,997,0,3
85,994,2,4
86,992,6,2
87,987,6,7
88,989,2,9
89,989,3,8
90,990,4,6
91,993,1,6
92,988,5,7
93,999,0,1
94,982,6,12
95,994,4,2
96,987,0,13
97,995,0,5
98,995,1,4
99,996,2,2
100,990,3,7
