,zmage,izenačenja,porazi
0,355,116,529
1,768,32,200
2,776,9,215
3,794,23,183
4,804,17,179
5,798,28,174
6,795,22,183
7,789,18,193
8,832,12,156
9,754,21,225
10,807,22,171
11,718,42,240
12,688,38,274
13,685,50,265
14,692,42,266
15,655,70,275
16,680,73,247
17,726,52,222
18,728,53,219
19,778,53,169
20,709,79,212
21,702,58,240
22,765,50,185
23,727,32,241
24,761,46,193
25,695,72,233
26,699,14,287
27,739,7,254
28,805,18,177
29,822,8,170
30,776,3,221
31,879,3,118
32,817,2,181
33,819,5,176
34,788,9,203
35,824,15,161
36,890,13,97
37,874,5,121
38,868,18,114
39,875,10,115
40,920,12,68
41,909,7,84
42,890,4,106
43,865,14,121
44,872,6,122
45,876,9,115
46,891,8,101
47,915,16,69
48,872,4,124
49,907,12,81
50,834,12,154
51,911,5,84
52,823,9,168
53,877,20,103
54,895,9,96
55,916,13,71
56,891,6,103
57,920,7,73
58,857,13,130
59,945,11,44
60,907,8,85
61,830,15,155
62,895,8,97
63,889,9,102
64,939,3,58
65,933,3,64
66,959,3,38
67,944,2,54
68,946,5,49
69,940,4,56
70,953,7,40
71,899,11,90
72,937,4,59
73,934,12,54
74,954,2,44
75,945,4,51
76,975,2,23
77,941,13,46
78,927,5,68
79,905,8,87
80,897,6,97
81,955,7,38
82,940,3,57
83,954,5,41
84,947,13,40
85,925,11,64
86,943,14,43
87,954,11,35
88,950,7,43
89,941,8,51
90,923,10,67
91,923,13,64
92,953,11,36
93,970,6,24
94,973,6,21
95,964,11,25
96,954,8,38
97,961,6,33
98,961,2,37
99,976,6,18
100,962,1,37
