,zmage,izenačenja,porazi
0,568,84,348
1,757,84,159
2,826,46,128
3,768,80,152
4,774,84,142
5,817,63,120
6,856,31,113
7,771,11,218
8,806,22,172
9,774,34,192
10,930,2,68
11,957,5,38
12,913,19,68
13,876,48,76
14,949,2,49
15,895,18,87
16,963,10,27
17,976,0,24
18,968,12,20
19,921,27,52
20,957,28,15
21,937,20,43
22,962,9,29
23,963,17,20
24,985,6,9
25,936,16,48
26,916,18,66
27,948,14,38
28,924,12,64
29,969,6,25
30,973,14,13
31,949,5,46
32,968,16,16
33,861,58,81
34,922,10,68
35,980,15,5
36,962,8,30
37,961,19,20
38,945,52,3
39,923,33,44
40,977,14,9
41,968,21,11
42,984,13,3
43,967,29,4
44,960,32,8
45,975,21,4
46,977,23,0
47,991,8,1
48,981,19,0
49,969,31,0
50,970,30,0
51,829,115,56
52,952,34,14
53,976,18,6
54,977,17,6
55,978,22,0
56,988,12,0
57,986,14,0
58,971,29,0
59,972,28,0
60,969,19,12
61,975,24,1
62,977,23,0
63,977,23,0
64,980,20,0
65,992,8,0
66,987,13,0
67,971,28,1
68,980,14,6
69,990,10,0
70,980,9,11
71,975,11,14
72,976,20,4
73,985,11,4
74,975,25,0
75,979,20,1
76,983,17,0
77,978,19,3
78,981,19,0
79,967,23,10
80,989,11,0
