,zmage,izenačenja,porazi
0,332,217,451
1,254,326,420
2,341,171,488
3,458,92,450
4,376,76,548
5,394,71,535
6,331,100,569
7,463,71,466
8,356,52,592
9,397,27,576
10,364,41,595
11,159,322,519
12,430,106,464
13,471,177,352
14,450,114,436
15,405,41,554
16,439,69,492
17,445,109,446
18,440,72,488
19,529,59,412
20,596,113,291
21,629,118,253
22,618,96,286
23,585,154,261
24,685,126,189
25,506,202,292
26,601,130,269
27,524,228,248
28,577,162,261
29,594,213,193
30,610,134,256
31,608,191,201
32,643,258,99
33,584,241,175
34,619,275,106
35,647,260,93
36,662,218,120
37,635,270,95
38,634,205,161
39,689,254,57
40,649,263,88
41,683,217,100
42,670,239,91
43,687,217,96
44,736,224,40
45,753,201,46
46,642,259,99
47,723,243,34
48,575,261,164
49,706,256,38
50,747,215,38
51,712,257,31
52,714,259,27
53,747,225,28
54,680,243,77
55,682,267,51
56,709,266,25
57,712,224,64
58,658,288,54
59,697,244,59
60,710,227,63
61,686,233,81
62,666,271,63
63,740,234,26
64,697,253,50
65,682,266,52
66,625,270,105
67,707,267,26
68,701,286,13
69,758,230,12
70,728,240,32
71,699,264,37
72,757,215,28
73,760,217,23
74,706,259,35
75,724,265,11
76,706,258,36
77,726,228,46
78,718,244,38
79,673,270,57
80,769,218,13
