,zmage,izenačenja,porazi
0,459,4,537
1,833,0,167
2,847,0,153
3,804,0,196
4,764,4,232
5,761,7,232
6,861,4,135
7,873,3,124
8,910,0,90
9,826,0,174
10,790,2,208
11,794,1,205
12,846,2,152
13,798,1,201
14,891,3,106
15,864,2,134
16,876,0,124
17,882,1,117
18,848,3,149
19,816,0,184
20,883,0,117
21,903,2,95
22,922,5,73
23,938,0,62
24,935,1,64
25,953,4,43
26,902,0,98
27,968,0,32
28,947,1,52
29,881,0,119
30,894,0,106
31,942,0,58
32,942,1,57
33,959,0,41
34,936,0,64
35,965,0,35
36,980,0,20
37,979,0,21
38,981,0,19
39,934,0,66
40,951,0,49
41,954,0,46
42,929,1,70
43,911,3,86
44,924,2,74
45,951,1,48
46,904,0,96
47,928,0,72
48,889,0,111
49,950,0,50
50,828,1,171
51,867,1,132
52,856,2,142
53,914,0,86
54,935,0,65
55,904,0,96
56,852,0,148
57,945,0,55
58,943,2,55
59,918,0,82
60,900,0,100
61,878,0,122
62,991,0,9
63,930,1,69
64,938,0,62
65,939,0,61
66,952,0,48
67,960,1,39
68,956,0,44
69,932,0,68
70,946,0,54
71,935,0,65
72,965,0,35
73,880,0,120
74,896,0,104
75,968,0,32
76,961,0,39
77,874,0,126
78,920,0,80
79,838,1,161
80,905,0,95
81,862,0,138
82,957,0,43
83,925,0,75
84,946,0,54
85,871,0,129
86,919,0,81
87,946,0,54
88,981,0,19
89,991,0,9
90,962,0,38
91,933,0,67
92,867,0,133
93,920,1,79
94,839,1,160
95,873,3,124
96,904,0,96
97,980,0,20
98,843,0,157
99,923,0,77
100,980,0,20
101,982,0,18
102,951,0,49
103,937,0,63
104,811,0,189
105,865,1,134
106,903,0,97
107,935,0,65
108,963,0,37
109,888,0,112
110,968,0,32
111,915,1,84
112,858,1,141
113,810,0,190
114,827,0,173
115,986,0,14
116,858,0,142
117,907,0,93
118,945,0,55
119,973,0,27
120,972,0,28
121,906,1,93
122,912,0,88
123,868,0,132
124,893,0,107
125,915,0,85
126,880,0,120
127,904,0,96
128,883,0,117
129,924,0,76
130,902,0,98
131,948,1,51
132,857,0,143
133,937,0,63
134,843,0,157
135,887,0,113
136,912,1,87
137,867,0,133
138,937,0,63
139,964,0,36
140,831,0,169
141,935,1,64
142,918,0,82
143,903,0,97
144,935,0,65
145,986,0,14
146,948,0,52
147,993,0,7
148,945,0,55
149,883,1,116
150,972,0,28
151,774,1,225
152,944,1,55
153,988,0,12
154,975,0,25
155,993,0,7
156,920,0,80
157,899,0,101
158,986,0,14
159,928,0,72
160,929,0,71
161,991,0,9
162,953,0,47
163,921,1,78
164,979,0,21
165,983,0,17
166,981,0,19
167,990,0,10
168,990,0,10
169,978,0,22
170,980,0,20
171,954,0,46
172,972,0,28
173,990,0,10
174,976,0,24
175,990,0,10
176,986,0,14
177,988,0,12
178,989,0,11
179,749,0,251
180,911,0,89
181,838,0,162
182,830,0,170
183,840,0,160
184,835,0,165
185,829,0,171
186,843,0,157
187,835,0,165
188,833,0,167
189,825,0,175
190,851,0,149
191,852,0,148
192,831,0,169
193,858,0,142
194,798,0,202
195,819,0,181
196,856,0,144
197,829,0,171
198,864,0,136
199,859,0,141
200,831,0,169
