,zmage,izenačenja,porazi
0,123,114,763
1,470,52,478
2,581,55,364
3,557,97,346
4,544,156,300
5,432,86,482
6,375,140,485
7,387,117,496
8,420,112,468
9,402,124,474
10,285,151,564
11,271,199,530
12,290,168,542
13,315,191,494
14,351,203,446
15,396,124,480
16,365,172,463
17,438,115,447
18,431,70,499
19,408,82,510
20,456,98,446
21,415,116,469
22,401,194,405
23,438,156,406
24,453,159,388
25,472,168,360
26,488,163,349
27,511,182,307
28,380,264,356
29,455,216,329
30,492,240,268
31,480,245,275
32,611,162,227
33,557,223,220
34,595,287,118
35,610,244,146
36,572,232,196
37,572,252,176
38,608,265,127
39,585,262,153
40,598,245,157
41,643,193,164
42,647,181,172
43,621,250,129
44,582,262,156
45,505,299,196
46,652,234,114
47,636,246,118
48,627,243,130
49,556,276,168
50,642,210,148
51,541,278,181
52,545,323,132
53,582,204,214
54,588,293,119
55,546,309,145
56,497,323,180
57,586,290,124
58,600,268,132
59,584,263,153
60,672,253,75
61,657,276,67
62,649,281,70
63,609,288,103
64,703,210,87
65,660,242,98
66,674,218,108
67,727,199,74
68,666,230,104
69,652,228,120
70,693,212,95
71,653,242,105
72,639,282,79
73,654,261,85
74,624,252,124
75,622,264,114
76,674,222,104
77,680,237,83
78,627,279,94
79,696,233,71
80,686,247,67
81,587,244,169
82,599,271,130
83,596,249,155
84,710,236,54
85,702,242,56
86,691,247,62
87,715,241,44
88,700,235,65
89,694,253,53
90,734,226,40
91,682,276,42
92,758,220,22
93,776,198,26
94,732,141,127
95,706,227,67
96,791,160,49
97,729,230,41
98,708,255,37
99,703,246,51
100,651,283,66
101,640,251,109
102,725,230,45
103,762,205,33
104,729,213,58
105,763,206,31
106,747,212,41
107,748,212,40
108,693,252,55
109,720,232,48
110,699,258,43
111,711,233,56
112,739,225,36
113,789,172,39
114,721,210,69
115,678,252,70
116,700,251,49
117,782,181,37
118,769,184,47
119,786,179,35
120,743,226,31
121,758,216,26
122,747,222,31
123,791,183,26
124,779,184,37
125,803,169,28
126,802,175,23
127,760,207,33
128,730,227,43
129,783,192,25
130,784,193,23
131,792,193,15
132,800,184,16
133,766,214,20
134,772,193,35
135,752,206,42
136,773,208,19
137,772,196,32
138,658,219,123
139,799,164,37
140,782,196,22
141,806,169,25
142,755,225,20
143,765,220,15
144,728,230,42
145,779,196,25
146,705,237,58
147,796,190,14
148,755,235,10
149,762,208,30
150,768,208,24
151,778,200,22
152,768,210,22
153,795,157,48
154,785,184,31
155,764,209,27
156,794,172,34
157,746,220,34
158,772,201,27
159,805,176,19
160,788,190,22
161,823,172,5
162,780,200,20
163,765,222,13
164,763,215,22
165,782,203,15
166,761,224,15
167,774,194,32
168,798,195,7
169,767,217,16
170,803,178,19
171,819,162,19
172,822,149,29
173,817,175,8
174,809,179,12
175,765,214,21
176,817,170,13
177,835,161,4
178,810,186,4
179,813,178,9
180,800,191,9
181,748,229,23
182,799,193,8
183,757,206,37
184,736,245,19
185,792,176,32
186,793,173,34
187,843,148,9
188,807,164,29
189,818,169,13
190,832,160,8
191,807,185,8
192,759,207,34
193,823,154,23
194,789,188,23
195,793,175,32
196,775,192,33
197,790,198,12
198,747,208,45
199,817,166,17
200,819,164,17
201,814,173,13
202,770,209,21
203,802,185,13
204,801,182,17
205,755,228,17
206,748,218,34
207,773,195,32
208,759,225,16
209,775,204,21
210,833,163,4
211,812,169,19
212,743,224,33
213,792,193,15
214,723,237,40
215,767,193,40
216,835,143,22
217,790,188,22
218,775,205,20
219,780,188,32
220,795,188,17
221,797,198,5
222,798,191,11
223,801,192,7
224,793,185,22
225,798,171,31
226,765,193,42
227,795,184,21
228,779,190,31
229,812,163,25
230,825,169,6
231,804,154,42
232,830,142,28
233,822,155,23
234,814,160,26
235,822,161,17
236,854,141,5
237,831,146,23
238,838,145,17
239,845,151,4
240,851,132,17
241,808,170,22
242,801,187,12
243,806,175,19
244,738,222,40
245,788,201,11
246,763,215,22
247,790,193,17
248,749,221,30
249,747,220,33
250,822,163,15
251,828,168,4
252,820,173,7
253,829,162,9
254,779,209,12
255,745,226,29
256,772,200,28
257,732,227,41
258,736,232,32
259,798,168,34
260,768,195,37
261,795,191,14
262,776,198,26
263,833,160,7
264,777,197,26
265,825,167,8
266,800,187,13
267,824,176,0
268,823,161,16
269,775,197,28
270,811,177,12
271,806,183,11
272,848,140,12
273,818,172,10
274,830,163,7
275,839,158,3
276,806,191,3
277,811,187,2
278,834,161,5
279,792,193,15
280,843,154,3
281,835,147,18
282,829,157,14
283,834,160,6
284,847,153,0
285,828,172,0
286,807,186,7
287,832,168,0
288,861,136,3
289,852,148,0
290,868,131,1
291,839,153,8
292,860,139,1
293,888,110,2
294,849,148,3
295,787,195,18
296,814,185,1
297,802,166,32
298,814,185,1
299,824,158,18
300,843,157,0
