,zmage,izenačenja,porazi
0,774,39,187
1,846,89,65
2,942,27,31
3,974,26,0
4,993,7,0
5,912,65,23
6,965,35,0
7,875,86,39
8,934,59,7
9,927,59,14
10,986,14,0
11,971,23,6
12,982,18,0
13,999,1,0
14,986,14,0
15,963,29,8
16,993,7,0
17,985,15,0
18,973,27,0
19,993,7,0
20,993,7,0
