,zmage,izenačenja,porazi
0,375,42,583
1,385,101,514
2,388,54,558
3,526,46,428
4,656,39,305
5,647,24,329
6,615,28,357
7,684,22,294
8,709,18,273
9,713,24,263
10,781,10,209
11,809,9,182
12,723,30,247
13,757,12,231
14,661,19,320
15,616,32,352
16,767,29,204
17,803,23,174
18,723,21,256
19,711,45,244
20,778,16,206
21,831,14,155
22,749,33,218
23,826,25,149
24,877,18,105
25,864,17,119
26,824,43,133
27,807,39,154
28,802,37,161
29,781,29,190
30,831,25,144
31,851,20,129
32,847,17,136
33,832,28,140
34,868,19,113
35,801,31,168
36,831,23,146
37,795,35,170
38,825,27,148
39,850,22,128
40,870,23,107
41,931,9,60
42,830,21,149
43,863,15,122
44,856,12,132
45,883,16,101
46,901,8,91
47,872,18,110
48,879,23,98
49,918,8,74
50,873,20,107
51,914,13,73
52,866,18,116
53,902,14,84
54,876,30,94
55,918,9,73
56,916,10,74
57,930,10,60
58,880,29,91
59,905,11,84
60,846,38,116
61,926,8,66
62,957,5,38
63,927,12,61
64,927,6,67
65,949,9,42
66,934,1,65
67,941,7,52
68,946,10,44
69,925,8,67
70,897,28,75
71,937,9,54
72,902,27,71
73,958,13,29
74,915,17,68
75,930,22,48
76,923,12,65
77,910,5,85
78,961,6,33
79,974,9,17
80,914,11,75
81,923,18,59
82,962,12,26
83,960,14,26
84,925,21,54
85,916,21,63
86,957,14,29
87,968,10,22
88,968,7,25
89,951,15,34
90,925,18,57
91,980,2,18
92,908,27,65
93,941,18,41
94,952,11,37
95,929,21,50
96,905,25,70
97,945,8,47
98,933,10,57
99,927,12,61
100,960,9,31
101,890,35,75
102,944,13,43
103,905,38,57
104,963,10,27
105,974,10,16
106,975,10,15
107,957,13,30
108,943,9,48
109,953,6,41
110,951,12,37
111,901,30,69
112,957,17,26
113,932,16,52
114,962,5,33
115,983,1,16
116,935,7,58
117,943,13,44
118,959,7,34
119,977,5,18
120,964,11,25
121,967,10,23
122,983,2,15
123,987,5,8
124,968,9,23
125,964,9,27
126,984,2,14
127,966,5,29
128,951,10,39
129,985,3,12
130,967,4,29
131,975,5,20
132,964,5,31
133,967,8,25
134,968,12,20
135,977,6,17
136,970,8,22
137,965,11,24
138,972,10,18
139,981,5,14
140,982,9,9
141,987,2,11
142,979,6,15
143,976,9,15
144,986,4,10
145,961,15,24
146,990,2,8
147,980,2,18
148,994,4,2
149,962,21,17
150,990,2,8
151,968,13,19
152,975,9,16
153,989,2,9
154,981,4,15
155,976,6,18
156,981,5,14
157,982,5,13
158,985,4,11
159,985,5,10
160,947,11,42
161,963,12,25
162,953,14,33
163,974,5,21
164,980,6,14
165,961,9,30
166,973,6,21
167,980,6,14
168,965,13,22
169,987,4,9
170,977,9,14
171,975,7,18
172,976,12,12
173,956,21,23
174,968,14,18
175,954,24,22
176,985,9,6
177,981,4,15
178,986,5,9
179,984,8,8
180,983,9,8
181,979,8,13
182,980,3,17
183,968,19,13
184,982,4,14
185,992,2,6
186,979,7,14
187,983,6,11
188,980,10,10
189,975,14,11
190,982,5,13
191,990,3,7
192,981,8,11
193,970,11,19
194,982,9,9
195,978,12,10
196,980,12,8
197,982,3,15
198,983,10,7
199,988,5,7
200,986,5,9
201,974,12,14
202,979,11,10
203,982,10,8
204,990,3,7
205,979,10,11
206,988,2,10
207,969,7,24
208,959,21,20
209,979,11,10
210,979,7,14
211,984,9,7
212,956,15,29
213,979,12,9
214,949,30,21
215,974,19,7
216,981,8,11
217,971,14,15
218,959,21,20
219,961,22,17
220,957,13,30
221,978,9,13
222,965,14,21
223,982,8,10
224,981,10,9
225,980,7,13
226,983,8,9
227,991,3,6
228,984,8,8
229,986,1,13
230,983,9,8
231,985,7,8
232,990,6,4
233,978,13,9
234,985,5,10
235,989,6,5
236,960,25,15
237,985,7,8
238,960,21,19
239,976,8,16
240,982,6,12
241,962,9,29
242,980,6,14
243,989,4,7
244,970,10,20
245,943,16,41
246,981,4,15
247,977,10,13
248,986,6,8
249,979,3,18
250,993,1,6
251,984,7,9
252,986,3,11
253,978,6,16
254,983,6,11
255,991,6,3
256,981,3,16
257,980,7,13
258,980,8,12
259,994,1,5
260,991,5,4
261,994,0,6
262,993,1,6
263,977,2,21
264,974,4,22
265,981,7,12
266,991,3,6
267,990,2,8
268,993,1,6
269,982,6,12
270,987,3,10
271,981,7,12
272,983,4,13
273,985,6,9
274,987,3,10
275,985,7,8
276,988,8,4
277,987,3,10
278,990,4,6
279,998,1,1
280,991,0,9
281,990,5,5
282,991,4,5
283,992,3,5
284,991,2,7
285,990,4,6
286,990,0,10
287,992,2,6
288,993,5,2
289,989,3,8
290,991,5,4
291,982,2,16
292,989,4,7
293,982,6,12
294,987,2,11
295,991,1,8
296,989,3,8
297,996,3,1
298,996,4,0
299,949,26,25
300,975,13,12
