,zmage,izenačenja,porazi
0,525,2,473
1,843,0,157
2,858,0,142
3,908,0,92
4,967,1,32
5,945,0,55
6,955,0,45
7,941,0,59
8,877,4,119
9,845,6,149
10,817,23,160
11,867,13,120
12,913,2,85
13,849,3,148
14,840,1,159
15,836,2,162
16,901,4,95
17,881,0,119
18,910,8,82
19,875,1,124
20,859,7,134
21,854,3,143
22,859,1,140
23,897,1,102
24,877,0,123
25,826,6,168
26,782,5,213
27,886,4,110
28,914,1,85
29,843,9,148
30,827,9,164
31,840,5,155
32,777,1,222
33,846,7,147
34,879,2,119
35,840,0,160
36,936,0,64
37,872,3,125
38,844,3,153
39,852,6,142
40,873,0,127
41,819,2,179
42,747,14,239
43,804,15,181
44,899,1,100
45,890,2,108
46,880,5,115
47,870,22,108
48,901,2,97
49,888,12,100
50,845,3,152
51,955,1,44
52,954,11,35
53,887,1,112
54,854,2,144
55,813,5,182
56,872,9,119
57,866,3,131
58,786,11,203
59,848,0,152
60,869,4,127
61,853,7,140
62,876,4,120
63,839,5,156
64,771,5,224
65,916,0,84
66,947,2,51
67,860,1,139
68,831,4,165
69,770,3,227
70,891,11,98
71,677,3,320
72,905,3,92
73,888,23,89
74,969,0,31
75,938,0,62
76,963,1,36
77,974,0,26
78,908,3,89
79,911,1,88
80,929,1,70
81,913,0,87
82,937,0,63
83,922,1,77
84,923,1,76
85,953,1,46
86,945,1,54
87,919,0,81
88,965,0,35
89,917,0,83
90,848,0,152
91,890,0,110
92,916,0,84
93,860,0,140
94,982,0,18
95,963,0,37
96,776,2,222
97,868,0,132
98,963,0,37
99,856,0,144
100,885,0,115
101,946,0,54
102,874,1,125
103,831,1,168
104,967,0,33
105,965,0,35
106,863,0,137
107,893,1,106
108,788,0,212
109,741,0,259
110,961,0,39
111,727,0,273
112,831,0,169
113,963,1,36
114,885,0,115
115,954,1,45
116,908,0,92
117,985,0,15
118,953,0,47
119,981,0,19
120,980,0,20
121,967,1,32
122,986,0,14
123,979,0,21
124,986,0,14
125,809,1,190
126,908,0,92
127,910,1,89
128,975,1,24
129,945,1,54
130,936,0,64
131,979,0,21
132,940,1,59
133,983,0,17
134,970,0,30
135,968,1,31
136,882,1,117
137,993,0,7
138,977,1,22
139,899,1,100
140,986,2,12
141,908,0,92
142,970,0,30
143,971,1,28
144,984,0,16
145,970,0,30
146,975,0,25
147,970,0,30
148,946,3,51
149,875,0,125
150,947,0,53
151,982,2,16
152,944,0,56
153,965,0,35
154,979,0,21
155,983,1,16
156,981,0,19
157,952,0,48
158,979,0,21
159,767,0,233
160,967,0,33
161,861,0,139
162,823,0,177
163,924,0,76
164,981,0,19
165,589,0,411
166,907,0,93
167,720,1,279
168,930,0,70
169,963,0,37
170,931,0,69
171,929,1,70
172,921,0,79
173,874,0,126
174,965,0,35
175,833,0,167
176,945,0,55
177,973,0,27
178,953,1,46
179,936,0,64
180,954,0,46
181,979,0,21
182,984,0,16
183,994,0,6
184,991,0,9
185,914,0,86
186,918,0,82
187,927,0,73
188,878,0,122
189,899,0,101
190,948,0,52
191,987,0,13
192,848,0,152
193,914,0,86
194,911,0,89
195,918,0,82
196,983,0,17
197,976,0,24
198,986,0,14
199,877,0,123
200,914,0,86
201,895,0,105
202,949,0,51
203,910,0,90
204,943,0,57
205,948,0,52
206,983,0,17
207,977,1,22
208,980,0,20
209,940,0,60
210,837,0,163
211,877,0,123
212,979,0,21
213,815,0,185
214,962,0,38
215,887,2,111
216,906,0,94
217,927,0,73
218,961,0,39
219,884,1,115
220,799,0,201
221,986,0,14
222,941,0,59
223,968,0,32
224,968,0,32
225,874,0,126
226,858,0,142
227,896,1,103
228,953,0,47
229,981,0,19
230,971,1,28
231,969,3,28
232,977,0,23
233,950,0,50
234,934,7,59
235,957,3,40
236,914,1,85
237,955,0,45
238,920,0,80
239,662,0,338
240,713,1,286
241,883,1,116
242,911,0,89
243,946,0,54
244,955,0,45
245,915,0,85
246,981,0,19
247,966,0,34
248,940,0,60
249,942,0,58
250,964,0,36
251,843,0,157
252,826,0,174
253,844,0,156
254,847,0,153
255,839,0,161
256,842,0,158
257,841,0,159
258,859,0,141
259,855,0,145
260,837,0,163
261,847,0,153
262,838,0,162
263,828,0,172
264,831,0,169
265,830,0,170
266,849,0,151
267,818,0,182
268,846,0,154
269,839,0,161
270,850,0,150
271,830,0,170
272,817,0,183
273,834,0,166
274,825,0,175
275,855,0,145
276,826,0,174
277,837,0,163
278,832,0,168
279,836,0,164
280,834,0,166
281,854,0,146
282,835,0,165
283,839,0,161
284,846,0,154
285,865,0,135
286,821,0,179
287,835,0,165
288,830,0,170
289,840,0,160
290,826,0,174
291,825,0,175
292,847,0,153
293,849,0,151
294,855,0,145
295,847,0,153
296,832,0,168
297,834,0,166
298,837,0,163
299,846,0,154
300,832,0,168
